firstName,lastName,email,gender,id,semester,studyDegree,studyProgram,skillLevel,language[de],language[en],nationality,projectPreference[iHaus],projectPreference[ALLZ],projectPreference[MED],projectPreference[IMT],projectPreference[BSH],projectPreference[BMW],projectPreference[QUAR],projectPreference[TSYS],projectPreference[McKIN],projectPreference[LMU],skill[Machine Learning],skill[Server-side development],skill[Web Development],skill[Cloud infrastructure],"skill[Docker, Kubernetes]",skill[Games Engineering],skill[UI/UX],device[IPhone],device[Mac],device[IPad],device[Watch]
Brandon,Miranda,brandon.miranda@example.com,Female,id_14,4,Master,Information Systems,Intermediate,Native,C1/C2,DE,4,0,9,8,5,7,1,6,3,2,Advanced,Expert,Intermediate,Novice,Expert,Novice,Intermediate,true,true,false,true
Thomas,Wise,thomas.wise@example.com,Male,id_15,3,Bachelor,Computer Science,Intermediate,C1/C2,C1/C2,AT,9,6,2,4,5,7,1,3,0,8,Intermediate,Advanced,Expert,Intermediate,Novice,Intermediate,Intermediate,false,false,false,true
Anne,Mills,anne.mills@example.com,Male,id_16,2,Bachelor,Computer Science,Expert,Native,B1/B2,RO,2,9,0,3,6,1,8,5,4,7,Intermediate,Intermediate,Expert,Novice,Intermediate,Intermediate,Advanced,false,false,false,false
Rebecca,Santos,rebecca.santos@example.com,Male,id_17,4,Bachelor,Computer Science,Intermediate,A1/A2,Native,KP,4,3,5,9,1,0,2,7,8,6,Intermediate,Intermediate,Novice,Intermediate,Intermediate,Intermediate,Intermediate,false,false,false,false
Shari,Adams,shari.adams@example.com,Female,id_18,1,Bachelor,Information Systems,Intermediate,Native,Native,DE,2,5,8,6,1,4,0,9,3,7,Intermediate,Expert,Advanced,Expert,Intermediate,Novice,Novice,false,true,true,true
Sandra,Zamora,sandra.zamora@example.com,Male,id_19,2,Bachelor,Information Systems,Intermediate,C1/C2,Native,AU,2,8,9,6,7,5,4,1,3,0,Intermediate,Intermediate,Intermediate,Novice,Novice,Intermediate,Intermediate,false,true,false,false
Teresa,Davis,teresa.davis@example.com,Female,id_20,6,Bachelor,Computer Science,Intermediate,Native,B1/B2,BD,4,6,9,3,7,0,2,8,5,1,Intermediate,Novice,Intermediate,Expert,Advanced,Intermediate,Intermediate,false,true,true,true
Brittany,Greer,brittany.greer@example.com,Male,id_21,2,Bachelor,Information Systems,Advanced,C1/C2,Native,DE,7,4,3,6,1,9,8,5,0,2,Expert,Intermediate,Intermediate,Intermediate,Intermediate,Expert,Intermediate,true,false,true,true
April,Lewis,april.lewis@example.com,Male,id_22,2,Bachelor,Information Systems,Intermediate,C1/C2,C1/C2,BZ,8,1,7,9,3,5,2,6,4,0,Intermediate,Advanced,Intermediate,Intermediate,Expert,Intermediate,Novice,false,false,true,true
Melissa,Sweeney,melissa.sweeney@example.com,Male,id_23,4,Bachelor,Computer Science,Advanced,C1/C2,Native,HR,4,8,0,6,9,7,2,5,3,1,Advanced,Intermediate,Novice,Intermediate,Intermediate,Intermediate,Intermediate,true,true,false,false
Sherry,Kelly,sherry.kelly@example.com,Male,id_24,1,Bachelor,Computer Science,Intermediate,A1/A2,C1/C2,LI,9,6,8,0,5,7,1,2,4,3,Advanced,Novice,Novice,Expert,Intermediate,Expert,Intermediate,true,false,true,false
John,Gonzalez,john.gonzalez@example.com,Female,id_25,5,Master,Information Systems,Intermediate,B1/B2,C1/C2,SI,8,9,5,3,6,0,1,2,4,7,Expert,Intermediate,Novice,Intermediate,Intermediate,Intermediate,Novice,false,true,false,false
Caleb,Reynolds,caleb.reynolds@example.com,Female,id_26,6,Bachelor,Information Systems,Intermediate,Native,Native,LU,0,7,1,2,5,3,6,9,4,8,Novice,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,true,true,false,true
Maria,Ray,maria.ray@example.com,Female,id_27,5,Bachelor,Computer Science,Intermediate,C1/C2,C1/C2,PA,3,4,2,1,6,8,7,9,5,0,Intermediate,Advanced,Advanced,Intermediate,Intermediate,Intermediate,Expert,true,false,true,true
Joel,Harris,joel.harris@example.com,Female,id_28,5,Master,Information Systems,Advanced,Native,Native,DE,8,9,1,5,0,4,7,6,3,2,Advanced,Intermediate,Advanced,Expert,Intermediate,Novice,Advanced,false,false,true,false
Justin,Taylor,justin.taylor@example.com,Female,id_29,4,Master,Computer Science,Intermediate,Native,B1/B2,BY,5,9,4,1,8,6,0,2,7,3,Expert,Intermediate,Expert,Intermediate,Intermediate,Novice,Intermediate,false,false,false,false
Kimberly,Boone,kimberly.boone@example.com,Male,id_30,2,Bachelor,Computer Science,Intermediate,Native,C1/C2,KI,1,4,5,6,8,3,9,0,7,2,Novice,Intermediate,Intermediate,Intermediate,Intermediate,Novice,Intermediate,true,false,true,false
Linda,Robbins,linda.robbins@example.com,Male,id_31,5,Master,Information Systems,Novice,C1/C2,Native,GD,6,5,9,3,7,2,1,8,4,0,Intermediate,Intermediate,Intermediate,Expert,Intermediate,Intermediate,Intermediate,false,false,false,true
Joshua,Gonzalez,joshua.gonzalez@example.com,Female,id_32,4,Bachelor,Information Systems,Expert,Native,Native,DE,9,6,8,4,0,7,1,3,2,5,Intermediate,Novice,Intermediate,Intermediate,Intermediate,Expert,Expert,true,false,false,true
Jeffrey,Stevens,jeffrey.stevens@example.com,Male,id_33,2,Master,Information Systems,Intermediate,C1/C2,B1/B2,DE,6,5,9,0,2,8,4,7,3,1,Intermediate,Novice,Expert,Intermediate,Intermediate,Expert,Advanced,false,true,true,true
Denise,Santiago,denise.santiago@example.com,Male,id_34,5,Bachelor,Computer Science,Intermediate,Native,B1/B2,NP,0,4,2,6,7,3,8,5,9,1,Expert,Intermediate,Novice,Advanced,Expert,Novice,Intermediate,true,true,true,true
Sonia,Moore,sonia.moore@example.com,Female,id_35,3,Master,Information Systems,Advanced,Native,Native,DE,0,3,1,9,7,2,5,6,4,8,Intermediate,Intermediate,Advanced,Intermediate,Intermediate,Expert,Intermediate,true,true,false,false
Denise,Johnson,denise.johnson@example.com,Male,id_36,4,Bachelor,Computer Science,Intermediate,Native,C1/C2,VE,9,7,1,8,3,4,6,0,5,2,Advanced,Novice,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,true,true,false,false
Thomas,Moon,thomas.moon@example.com,Male,id_37,6,Bachelor,Information Systems,Intermediate,Native,Native,GQ,7,4,5,1,3,9,6,2,8,0,Intermediate,Intermediate,Intermediate,Intermediate,Novice,Novice,Intermediate,false,true,true,false
David,Morales,david.morales@example.com,Female,id_38,3,Master,Computer Science,Intermediate,Native,C1/C2,GN,6,2,5,7,1,8,9,0,3,4,Intermediate,Advanced,Intermediate,Novice,Advanced,Intermediate,Intermediate,false,false,false,false
Jacob,Morales,jacob.morales@example.com,Female,id_39,6,Bachelor,Information Systems,Novice,C1/C2,Native,CM,3,4,5,9,8,0,6,2,1,7,Intermediate,Expert,Advanced,Intermediate,Novice,Expert,Intermediate,true,true,true,false
Kirk,Robinson,kirk.robinson@example.com,Female,id_40,3,Master,Information Systems,Intermediate,B1/B2,C1/C2,UA,0,7,4,1,8,3,9,2,5,6,Advanced,Intermediate,Novice,Novice,Novice,Novice,Intermediate,false,true,false,false
Amy,Gibson,amy.gibson@example.com,Female,id_41,4,Bachelor,Information Systems,Advanced,C1/C2,Native,DE,0,3,6,2,8,1,4,7,9,5,Advanced,Advanced,Novice,Novice,Expert,Intermediate,Intermediate,false,false,true,false
Benjamin,Foster,benjamin.foster@example.com,Female,id_42,5,Bachelor,Information Systems,Advanced,Native,C1/C2,DE,7,0,6,2,5,9,8,1,4,3,Expert,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Advanced,false,true,true,true
Dominic,Price,dominic.price@example.com,Male,id_43,1,Bachelor,Information Systems,Expert,C1/C2,C1/C2,GT,0,1,5,4,7,2,9,8,6,3,Intermediate,Intermediate,Intermediate,Intermediate,Novice,Advanced,Intermediate,true,false,false,true
Matthew,Brown,matthew.brown@example.com,Male,id_44,2,Bachelor,Computer Science,Intermediate,Native,Native,DE,2,6,9,8,5,4,7,1,0,3,Intermediate,Novice,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,true,false,true,true
John,Harris,john.harris@example.com,Female,id_45,4,Bachelor,Computer Science,Novice,C1/C2,Native,PE,7,5,9,2,0,8,4,6,3,1,Intermediate,Intermediate,Novice,Intermediate,Novice,Advanced,Intermediate,true,true,false,true
Loretta,Phillips,loretta.phillips@example.com,Male,id_46,1,Bachelor,Information Systems,Intermediate,Native,C1/C2,AG,3,7,0,8,9,2,5,4,6,1,Intermediate,Intermediate,Intermediate,Expert,Advanced,Intermediate,Intermediate,false,false,true,false
Michael,Walker,michael.walker@example.com,Male,id_47,4,Master,Information Systems,Intermediate,Native,Native,VC,8,1,6,3,7,0,4,2,5,9,Intermediate,Novice,Novice,Advanced,Intermediate,Intermediate,Novice,false,false,false,true
Linda,Thompson,linda.thompson@example.com,Female,id_48,5,Master,Information Systems,Intermediate,C1/C2,Native,DE,6,5,4,7,9,3,0,1,2,8,Advanced,Intermediate,Intermediate,Intermediate,Intermediate,Expert,Intermediate,true,false,false,false
Tara,Graham,tara.graham@example.com,Female,id_49,6,Bachelor,Information Systems,Novice,C1/C2,C1/C2,GW,9,0,7,5,6,1,3,8,2,4,Intermediate,Advanced,Novice,Advanced,Intermediate,Expert,Intermediate,false,false,true,true
Matthew,Hernandez,matthew.hernandez@example.com,Male,id_50,6,Bachelor,Information Systems,Intermediate,B1/B2,Native,DE,9,7,8,1,2,0,6,5,4,3,Intermediate,Intermediate,Intermediate,Intermediate,Expert,Intermediate,Intermediate,true,true,true,false
Joshua,Nguyen,joshua.nguyen@example.com,Female,id_51,5,Master,Information Systems,Advanced,C1/C2,C1/C2,BA,2,3,9,0,1,5,6,8,4,7,Novice,Expert,Intermediate,Intermediate,Intermediate,Expert,Intermediate,false,false,false,true
Tyler,Hall,tyler.hall@example.com,Male,id_52,3,Bachelor,Computer Science,Intermediate,Native,Native,KN,1,7,6,0,8,3,5,4,2,9,Intermediate,Novice,Advanced,Intermediate,Intermediate,Intermediate,Novice,true,false,true,true
Mark,Hutchinson,mark.hutchinson@example.com,Female,id_53,2,Bachelor,Information Systems,Novice,C1/C2,Native,DE,1,2,5,4,9,8,6,7,0,3,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,false,false,false,false
Tammy,Williams,tammy.williams@example.com,Female,id_54,6,Master,Computer Science,Intermediate,C1/C2,C1/C2,DE,1,3,9,7,2,0,5,8,4,6,Expert,Intermediate,Expert,Novice,Intermediate,Intermediate,Advanced,false,false,false,false
Diana,Byrd,diana.byrd@example.com,Female,id_55,4,Master,Information Systems,Advanced,Native,C1/C2,DE,6,4,0,7,9,8,5,1,2,3,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Expert,false,false,false,false
Andrew,Lucas,andrew.lucas@example.com,Male,id_56,6,Bachelor,Computer Science,Advanced,Native,B1/B2,YE,1,2,8,6,0,9,7,3,5,4,Intermediate,Expert,Intermediate,Intermediate,Intermediate,Novice,Intermediate,false,false,true,true
Amy,Wells,amy.wells@example.com,Female,id_57,6,Bachelor,Information Systems,Intermediate,C1/C2,Native,CA,9,8,4,1,0,6,3,7,2,5,Intermediate,Intermediate,Advanced,Intermediate,Advanced,Novice,Expert,false,false,true,false
William,Hunt,william.hunt@example.com,Male,id_58,2,Master,Computer Science,Expert,B1/B2,C1/C2,DE,1,8,2,7,0,9,4,5,3,6,Intermediate,Expert,Advanced,Expert,Intermediate,Intermediate,Expert,true,true,false,false
Alan,Saunders,alan.saunders@example.com,Male,id_59,3,Master,Computer Science,Intermediate,C1/C2,B1/B2,HT,9,0,8,5,4,7,6,1,2,3,Intermediate,Novice,Novice,Expert,Intermediate,Intermediate,Intermediate,true,true,false,false
Charles,Frank,charles.frank@example.com,Female,id_60,4,Bachelor,Computer Science,Intermediate,C1/C2,Native,PH,7,5,6,2,1,8,0,4,9,3,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Advanced,false,false,false,false
