firstname;lastname;email;attribute_1;attribute_2;attribute_3;major;major[other];semester;language[a1];language[a2];iOSDev;appStoreLink;iOSDevExplained;introAssessment[INTRO];devices[iPad];devices[iPhone];devices[iPod];devices[Watch];devices[Mac];expinterWEBFE[expinter][1];expinterWEBFE[expinter][2];justifyWEBFE;expinterSSDEV[expinter][1];expinterSSDEV[expinter][2];justifySSDEV;expinterEMBED[expinter][1];expinterEMBED[expinter][2];justifyEMBED;expinterVRAR[expinter][1];expinterVRAR[expinter][2];justifyVRAR;expinterMLALG[expinter][1];expinterMLALG[expinter][2];justifyMLALG;expinterUIUX[expinter][1];expinterUIUX[expinter][2];justifyUIUX;otherSkills;Priorities[1];Priorities[2];Priorities[3];Priorities[4];Priorities[5];Priorities[6];Priorities[7];Priorities[8];Priorities[9];Priorities[10];Priorities[11];Comments;supervisorRating;CommentsTutor;teamName
Vorname 11;Nachname 11;vorname.nachname@11;no;tum_id_11;male;BSc Informatics;;5;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;;hardly challenging;No;Yes;No;No;Yes;advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;extremely interested;;no skills;not interested at all;;expert skills skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";;BSH;iHaus;MED;IMT;ALLZ;QUAR;TSYS;McKIN;ZF FH;LMU;BMW;;Advanced;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 12;Nachname 12;vorname.nachname@12;no;tum_id_12;male;BSc Informatics;;5;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;;medium challenging;No;Yes;No;No;No;no skills;extremely interested;;expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;average interest;;no skills;not interested at all;;average skills;not interested at all;;no skills;average interest;;;QUAR;IMT;BMW;ALLZ;ZF FH;iHaus;MED;McKIN;BSH;TSYS;LMU;;Normal;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 13;Nachname 13;vorname.nachname@13;no;tum_id_13;male;MSc Informatics;;3;A1/A2;C1/C2;I have no experience in Apple platform development other than the intro course.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;;hardly challenging;No;No;No;No;No;advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;extremely interested;;no skills;not interested at all;;advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";;QUAR;iHaus;MED;ALLZ;BSH;McKIN;TSYS;ZF FH;BMW;IMT;LMU;;Advanced;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 14;Nachname 14;vorname.nachname@14;no;tum_id_14;male;MSc Informatics;;1;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;;medium challenging;No;No;No;No;No;expert skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";average skills;high interest;;no skills;average interest;;advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";;iHaus;BMW;ZF FH;McKIN;ALLZ;LMU;IMT;BSH;MED;QUAR;TSYS;;Normal;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 15;Nachname 15;vorname.nachname@15;no;tum_id_15;male;MSc Informatics;;3;A1/A2;B1/B2;I have no experience in Apple platform development other than the intro course.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;;medium challenging;No;No;No;No;No;advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;average interest;;average skills;not interested at all;;advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";;BSH;BMW;ZF FH;iHaus;TSYS;IMT;ALLZ;MED;QUAR;McKIN;LMU;;Normal;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 16;Nachname 16;vorname.nachname@16;no;tum_id_16;male;MSc Informatics;;3;A1/A2;Native;I have no experience in Apple platform development other than the intro course.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;;very challenging;No;Yes;No;No;Yes;advanced skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";average skills;hardly interested;;beginner skills;extremely interested;;beginner skills;hardly interested;;advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";advanced skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";;ZF FH;IMT;LMU;MED;ALLZ;QUAR;BMW;TSYS;BSH;iHaus;McKIN;;Novice;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 17;Nachname 17;vorname.nachname@17;no;tum_id_17;male;MSc Informatics;;3;B1/B2;C1/C2;I have no experience in Apple platform development other than the intro course.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;;medium challenging;No;Yes;No;No;Yes;expert skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";beginner skills;high interest;;no skills;hardly interested;;expert skills skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";;QUAR;ALLZ;iHaus;BMW;BSH;ZF FH;McKIN;MED;IMT;TSYS;LMU;;Normal;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 18;Nachname 18;vorname.nachname@18;no;tum_id_18;female;MSc Informatics;;3;A1/A2;Native;I have no experience in Apple platform development other than the intro course.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;;very challenging;No;No;No;No;Yes;average skills;high interest;;advanced skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;extremely interested;;no skills;not interested at all;;expert skills skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";"Most projects look terrific; I just hope I will not end up in an internationals-only team; nor in a germans-only team (where the only language is german :) ).";QUAR;ZF FH;ALLZ;McKIN;iHaus;BMW;BSH;TSYS;MED;IMT;LMU;"Most projects look terrific; I just hope I will not end up in an internationals-only team; nor in a germans-only team (where the only language is german :) ).";Novice;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 19;Nachname 19;vorname.nachname@19;no;tum_id_19;male;MSc Informatics;;3;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;;medium challenging;Yes;No;No;No;No;average skills;extremely interested;;expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";average skills;high interest;;no skills;average interest;;expert skills skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";average skills;extremely interested;;;QUAR;BSH;iHaus;BMW;MED;ALLZ;IMT;ZF FH;McKIN;TSYS;LMU;;Normal;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 20;Nachname 20;vorname.nachname@20;no;tum_id_20;male;"MSc Mechanical Engineering; Electrical Engineering";;3;Native;B1/B2;I have been an active developer for a native Apple application.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;"I completed an online course on developing iOS applications; and developed some little applications on my own as exercises. After the course i developed 2 other applications on my own; but did not publish them to the App Store.";hardly challenging;Yes;Yes;No;No;Yes;average skills;high interest;;advanced skills;hardly interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";beginner skills;hardly interested;;beginner skills;hardly interested;;average skills;average interest;;average skills;average interest;;;iHaus;QUAR;ALLZ;ZF FH;BMW;McKIN;MED;IMT;BSH;TSYS;LMU;;Advanced;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 21;Nachname 21;vorname.nachname@21;no;tum_id_21;female;MSc Informatics;;3;Native;C1/C2;"I was involved in the development of a native Apple application; but I had another role than developer (e.g. tester).";https://itunes.apple.com/us/app/xcode/id497799835?mt=12;iOS Smart Games Praktikum at the LS1;medium challenging;No;No;No;No;Yes;advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;extremely interested;;no skills;not interested at all;;expert skills skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";;BSH;McKIN;ALLZ;IMT;ZF FH;iHaus;TSYS;MED;BMW;QUAR;LMU;;Normal;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 22;Nachname 22;vorname.nachname@22;no;tum_id_22;male;BSc Informatics;;7;Native;B1/B2;I have no experience in Apple platform development other than the intro course.;;;very challenging;No;No;No;No;No;no skills;high interest;;advanced skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;hardly interested;;no skills;not interested at all;;beginner skills;hardly interested;;beginner skills;hardly interested;;;BSH;QUAR;iHaus;ALLZ;BMW;ZF FH;McKIN;TSYS;MED;IMT;LMU;;Novice;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 23;Nachname 23;vorname.nachname@23;no;tum_id_23;male;BSc Information Systems;;7;Native;B1/B2;"I was involved in the development of a native Apple application; but I had another role than developer (e.g. tester).";https://itunes.apple.com/us/app/xcode/id497799835?mt=12;"I participated in the lecture """"Projektorganisation und Management"""" and developed an app within this course.";hardly challenging;Yes;Yes;No;Yes;Yes;advanced skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";average skills;not interested at all;;no skills;average interest;;no skills;not interested at all;;average skills;hardly interested;;beginner skills;average interest;;I am sorry I fill out this survey to late but was traveling to DÃ¼sseldorf and got the info that I have to fill out this one again to late.;IMT;BMW;MED;ZF FH;QUAR;ALLZ;McKIN;iHaus;BSH;TSYS;LMU;I am sorry I fill out this survey to late but was traveling to DÃ¼sseldorf and got the info that I have to fill out this one again to late.;Advanced;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
